,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Oribacterium sp. ACB7,2.0,,,2.0,2.0,2.0,,2.0
Oribacterium sp. ICM51,,,,,,,,
Oribacterium sp. NK2B42,,,,,,,,
Oribacterium sp. oral taxon 102,2.0,,,,,,,
Ornithinibacillus sp. B1132,,,,,,,,
Oscillibacter sp. G2,1.1721432198924833,1.2636820047074813,1.2001485013056559,1.2315092012826767,1.1490176060214796,1.4852812683686276,1.3216945859216298,1.2426580199538322
Oscillibacter valericigenes,1.3098040348805655,1.203737952648535,1.111951920474261,1.148009532397776,0.9274364829218005,1.19031600167157,1.2329748832417344,1.1805655798360737
Oscillospira guilliermondii,1.7542771288712244,2.0,2.0,1.5974907196915213,1.6998644792744786,1.8425590569894006,2.0,1.6230344562795598
Paenibacillus curdlanolyticus,,,,,,,,
Paenibacillus durus,,,,,,,,
Paenibacillus ginsengarvi,2.0,,,,,,,
Paenibacillus mucilaginosus,,,,,,,,
Paenibacillus pasadenensis,,,,,,,,
Paenibacillus polymyxa,,,,,,,,
Paenibacillus sp. THMBG22,,,,,,,,
Paenibacillus sp. Y412MC10,2.0,,2.0,,2.0,2.0,2.0,2.0
Paenibacillus terrigena,,,1.929050415477622,,1.9239952214593754,,,
Paludibacter propionicigenes,0.4542378985753837,0.5525691501101563,0.41883319450018364,0.581106740325158,0.8478706437808904,0.5905901863316679,0.5414040362752096,0.638197614489766
Pantoea calida,,,,,,,,
Papillibacter cinnamivorans,,2.0,,,2.0,,,
Parabacteroides distasonis,0.1945628831632549,0.3007580111309013,0.1847651967628508,0.13763100922709975,0.15734066665167276,0.20979193319573666,0.12231560001991736,0.1974003550937617
Parabacteroides goldsteinii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Parabacteroides johnsonii,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Parabacteroides merdae,1.1046820203990058,1.0596338918370996,1.2609777672937421,0.9463990142186731,1.497869341643085,0.973268358637785,0.8995686580851141,0.9465782588241726
Parabacteroides sp. 157,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Parabacteroides sp. D13,2.0,,,,2.0,2.0,2.0,
Parabacteroides sp. D25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Paraeggerthella hongkongensis,1.662149321553606,1.7657425175829178,1.7927261929906724,1.6954396431380934,1.5402789926798943,1.6868106260680442,1.5819749454116065,1.342491928196923
Parapedobacter koreensis,,,,,,,,
Paraprevotella clara,2.0,,,,2.0,,2.0,2.0
Paraprevotella xylaniphila,0.906532533141821,0.8691647592614978,1.063623193643693,0.9454132251755756,0.8424911396311688,1.2815741967601204,0.6895122571252317,0.8649175279492152
Parasporobacterium paucivorans,2.0,2.0,2.0,2.0,2.0,1.7005355865349294,2.0,2.0
Parasutterella excrementihominis,0.7445387002823163,0.7919127270548361,0.4876401140329494,0.6978714923175157,0.6034937374340884,0.828182403327226,0.5668468595180499,0.555413832755759
Parvimonas micra,,,,,,,,
Pedobacter aquatilis,,,,,,,2.0,
Pedobacter daejeonensis,,,,,,,,
Pedobacter duraquae,,,,,,,,
Pedobacter heparinus,2.0,,2.0,,,,2.0,2.0
Pedobacter lentus,,,,,,,,
Pedobacter panaciterrae,,,,,,,,
Pedobacter rhizospharae,,,,,,,,
Pedobacter saltans,,2.0,,2.0,2.0,,,
Pedobacter soli,,,,,,,,
Pedobacter sp. S8-2,2.0,,,,,,,
Pedobacter terrae,,,,,,,,
Pedosphaera parvula,,,,,,,,
Pelobacter acetylenicus,,,,,,,,
Pelobacter carbinolicus,,,,,,,,
Pelomonas sp. TSA64,,,,,,,,
Pelospora glutarica,,,,,,,,
Peptococcus BU014,1.1767359790523209,1.1892663113471968,0.8446772776073528,1.2499811621878714,0.8191258299671366,0.6638600098300563,1.008258481176406,0.8918919698512466
Peptococcus sp. canine oral taxon 044,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Peptococcus sp. canine oral taxon 334,,,,,,,,
Peptoniphilus rhinitidis,2.0,2.0,2.0,2.0,,,2.0,2.0
Peptostreptococcus anaerobius,,,,,,,,
Peptostreptococcus sp.,,,,,,,,
Phascolarctobacterium faecium,,,2.0,,,,,
Phascolarctobacterium sp. 377,,,,,,,,
Phascolarctobacterium sp. canine oral taxon 149,,,,,,,,
Phascolarctobacterium succinatutens,,2.0,,,,,,
Phyllobacterium sp. EBBLQ01,,,,,,,,
Phylum OP10,,,,,,,,
Pisum sativum,2.0,,,,,,,
Planococcus psychrotoleratus,,,,,,,,
Plantibacter sp. SPE-06,,,,,,,,
Pleomorphomonas oryzae,,,,,,,,
Pontibacter korlensis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Pontibacter sp. BAB1700,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Pontibacter sp. IMTB-1969,2.0,,,,,,2.0,2.0
Pontibacter sp. M71_W27,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Pontibacter sp. R-36965,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Pontibacter sp. YJ19,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Porphyromonas CW034,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Porphyromonas HF001,,,,,,,,
Porphyromonas cangingivalis,,,2.0,2.0,,2.0,2.0,2.0
Porphyromonas canoris,,,,,2.0,,,
Porphyromonas catoniae,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Porphyromonas crevioricanis,,,,2.0,,,,2.0
Porphyromonas gingivalis,,,,,,,,
Porphyromonas somerae,,,,2.0,,,,
Porphyromonas sp. canine oral taxon 181,2.0,,,,,,,
Porphyromonas sp. canine oral taxon 182,,,,,,,,
Porphyromonas sp. canine oral taxon 281,,2.0,,,,,,
Porphyromonas sp. canine oral taxon 290,2.0,,,,,,,
Porphyromonas sp. canine oral taxon 341,,,,,,,,
Porphyromonas sp. canine oral taxon 366,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella 10B515,,,,,,,,
Prevotella 601F05,,,,2.0,,,,
Prevotella 701G08,,,,,,,,
Prevotella DO039,2.0,,,,,,,
Prevotella E7,,,,,,,,
Prevotella FW035,,,,,,,,
Prevotella IK053,2.0,,2.0,,2.0,2.0,2.0,2.0
Prevotella IK062,1.4200440886233778,1.1988737494606405,1.640111913072094,1.2657327564056444,1.8420718694122398,2.0,1.5665263138696819,1.6537676072609198
Prevotella aff. ruminicola Tc2-24,,,,2.0,,,2.0,
Prevotella albensis,2.0,,2.0,,,,,
Prevotella baroniae,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella bivia,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Prevotella buccae,,,,,,,,
Prevotella buccalis,2.0,,2.0,,,,,2.0
Prevotella copri,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella dentalis,,,2.0,,2.0,,2.0,
Prevotella dentasini,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella denticola,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella disiens,2.0,2.0,,2.0,,,,
Prevotella fusca,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella genomosp. C1,0.9106202482434758,0.9854659179747387,0.4039178970111633,0.7373294340599778,0.40506143872219946,0.33973208973246516,0.36866126414251843,0.3460526659816493
Prevotella genomosp. P4,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Prevotella histicola,,,,,,,,
Prevotella loescheii,0.9646418930920163,0.695225851916899,0.9063201432872092,0.9270784595228339,0.6306000014166012,0.710010261055376,0.563965987321424,0.6905000103453364
Prevotella maculosa,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella marshii,,,2.0,,,,,
Prevotella melaninogenica,1.5837440405004635,1.558850638484461,1.3500169090294223,1.5882186622069558,2.0,1.8705363394482566,1.1357088908070778,1.325771740610954
Prevotella multiformis,,,,,,,,
Prevotella nanceiensis,,,,,,,,
Prevotella ncd1310e09c1,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Prevotella nigrescens,,,,,,2.0,2.0,
Prevotella oral taxon 304,,2.0,,,,,,
Prevotella oris,0.6307215914422446,0.8675201799228348,0.3867789523793729,0.542723289645885,0.3177963206517435,0.468275102320729,0.35079939328853327,0.44082784623721677
Prevotella oulorum,0.42388753656048195,0.4765422291842209,0.46479204198323876,0.470243373453147,0.36729653515855887,0.33130124027748586,0.3529373370604162,0.37007682680307014
Prevotella paludivivens,0.0,,,,,,,
Prevotella pleuritidis,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella ruminicola,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella saccharolytica,,,,,,,,
Prevotella salivae,,,,,,,,
Prevotella scopos,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
Prevotella shahii,1.0143878458994584,0.6941910646166842,0.8793798789588934,0.8827397911024959,0.6033486051455055,0.7622789188242307,0.5589290221603879,0.7334081066320973
Prevotella sp. B31FD,,,,,,,,
Prevotella sp. BI-42,,2.0,,,,,2.0,
Prevotella sp. BP1-145,,,,,,,2.0,
Prevotella sp. BP1-56,2.0,,,2.0,2.0,2.0,2.0,2.0
Prevotella sp. C561,,,,,,,,
Prevotella sp. CD3_27,,2.0,,,0.0,,,
Prevotella sp. CD3_28,2.0,,,,,,,
Prevotella sp. DJF_B112,2.0,2.0,,2.0,,,2.0,
Prevotella sp. DJF_B116,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella sp. DJF_LS16,,,,,,,,
Prevotella sp. DJF_RP53,,,,,,,,
Prevotella sp. E7_34,,,,,,,,
Prevotella sp. E9_42,,,,,,,,
Prevotella sp. ICM1,,,,,2.0,2.0,2.0,
Prevotella sp. P2A_FAAD4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella sp. R79,,2.0,,,,,2.0,
Prevotella sp. RM13,,2.0,,,,,,
Prevotella sp. RS2,,2.0,,,,,,
Prevotella sp. Smarlab 121567,0.32433748030850906,0.354364038964796,0.3305084980170388,0.2670374957998242,0.2575564001005861,0.48028333159282965,0.37657711979646863,0.5034844536105307
Prevotella sp. canine oral taxon 226,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Prevotella sp. canine oral taxon 282,,,,2.0,,,2.0,
Prevotella sp. canine oral taxon 284,,,,,,,,
Prevotella sp. oral taxon 317,0.3572446984800531,0.45771916586726635,0.3964367169387102,0.2583030940270782,0.3705572847657503,0.35459753263133087,0.3143976811574265,0.3360666384895703
Prevotella sp. oral taxon 472,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella sp. oral taxon 782,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Prevotella sp. oral taxon G60,,,,,2.0,,2.0,
Prevotella stercorea,,,,,,,,
Prevotella tannerae,2.0,,,,,,,
Prevotella timonensis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Prevotella veroralis,2.0,2.0,2.0,,2.0,,2.0,2.0
Prolixibacter bellariivorans,2.0,,2.0,,2.0,,,2.0
Propionibacterium acnes,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Propionibacterium propionicum,,,,,,,,
Propionibacterium sp. canine oral taxon 365,,,,,,,,
Propionibacterium thoenii,,,,,,,,
Propioniciclava tarda,,,,,,,,
Pseudoalteromonas sp. BSs20045,,,,,,,,
Pseudoalteromonas sp. BSw20047,,,,,,,,
Pseudobutyrivibrio ruminis,,,,,2.0,,,
Pseudoflavonifractor capillosus,1.0684785079793,1.2209425783284078,0.961929398401553,1.2095826306017108,0.6663214900714586,0.7415723034660299,0.8844480588695096,0.8077093151568993
Pseudomonas aeruginosa,,,,,,,,
Pseudomonas fluorescens,,,,,,,,
Pseudomonas psychrotolerans,,,,,,,,
Pseudomonas putida,,,,,,,,
Pseudomonas sp. MBEA661,,,,,,,,
Pseudomonas sp. ZH3,,,,,,,,
Quadrisphaera granulorum,,,,,,,,
Quinella ovalis,,,,,,,,
Ralstonia pickettii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Rapidithrix sp. TISTR 1768,2.0,,2.0,2.0,,,,
Reichenbachiella faecimaris,,,,,,,,
Reyranella massiliensis,,,,,,,,
Rhodanobacter sp. 115,,,,,,2.0,2.0,
Rhodococcus sp. BYV50,,,,,,,,
Rhodospirillum rubrum,,,,,,,,
Rhodothermus marinus,,,,,,,,
Rickettsiella grylli,,,,,,,,
Rickettsiella melolonthae,,,,,,,,
Rikenella microfusus,0.6366953831325974,0.7799258489001637,0.4399637941597229,0.9041713403180895,0.3450370976983692,0.31922312011512793,0.5383344475298901,0.5031947176750383
Robinsoniella peoriensis,2.0,,2.0,,2.0,,,
Roseburia cecicola,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Roseburia faecis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Roseburia hominis,1.255578316262803,1.4926431967909146,1.3070135142488708,1.5044393023253821,1.2352399396536862,1.4149718736477712,1.3713559502905535,1.4338033053942556
Roseburia intestinalis,1.690248421371044,1.7652965597171353,1.7223376074222396,1.8004150160347103,1.702664814923486,1.529729569270045,1.4304885310297621,1.7315423772897853
Roseburia inulinivorans,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Roseburia sp. 1120,1.842385653089242,1.928587751371115,1.7150895917253224,1.924927310399225,1.601765322246297,1.575646037869424,1.9209723552317046,1.8177276346775488
Roseburia sp. 499,1.4872534391798793,1.6634803473697137,1.9180187344439048,1.6990319425506408,2.0,1.7572847858512672,1.816691982429492,1.7534098452125566
Roseburia sp. DJF_VR77,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Roseibium sp. TrichSKD4,,,,,,,,
Roseiflexus castenholzii,,,,,,,,
Roseobacter sp. GAI101,,,,,,,,
Rothia mucilaginosa,,,,,2.0,,,
Rubellimicrobium mesophilum,,,,,,,,
Rubrobacter radiotolerans,,,,,,,,
Rubrobacter xylanophilus,2.0,2.0,,,2.0,,2.0,2.0
Ruminococcus albus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Ruminococcus bromii,,2.0,,,2.0,,2.0,
Ruminococcus callidus,,,,,2.0,,,
Ruminococcus champanellensis,2.0,2.0,2.0,2.0,2.0,2.0,,2.0
Ruminococcus flavefaciens,1.7405285100531358,1.9148940522315423,1.684838111287322,1.6736346626125609,1.5178853868472337,1.7987131129354335,1.463620592887392,1.4710467227590007
Ruminococcus gauvreauii,2.0,,,,,,,
Ruminococcus lactaris,1.6649137024234852,1.4308983401011617,1.3285442480907783,1.5724439731463988,1.4787599642797071,1.7243293853842392,1.6319258258467162,1.2788683477239937
Ruminococcus sp. 15975,,,,2.0,0.0,,,
Ruminococcus sp. 5_1_39BFAA,2.0,2.0,2.0,2.0,1.8493340556292384,2.0,2.0,2.0
Ruminococcus sp. 653,2.0,2.0,2.0,2.0,2.0,1.6370730870655834,2.0,2.0
Ruminococcus sp. DJF_VR52,2.0,,,,2.0,2.0,2.0,
Ruminococcus sp. DJF_VR70k1,,,2.0,,2.0,2.0,,
Ruminococcus sp. DJF_VR87,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Ruminococcus sp. ID1,2.0,,2.0,,2.0,,,2.0
Ruminococcus sp. ID8,,2.0,2.0,2.0,2.0,,,2.0
Ruminococcus sp. K-1,2.0,2.0,2.0,2.0,2.0,2.0,,2.0
Ruminococcus sp. M-1,1.5077940827104779,1.6087289611143352,1.5011696460454296,1.5571161700915048,1.6044095044087685,1.6719505063252176,1.574791989291057,1.6897378614908487
Ruminococcus sp. NK3A76,1.861341963781632,2.0,1.7054719443236184,1.8932664644102475,1.6741510344411605,1.752503819385503,2.0,1.8655724892536147
Ruminococcus sp. YE281,,,,,,,2.0,
Ruminococcus sp. YE58,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Ruminococcus sp. ZS2-15,2.0,1.7886242172254436,1.4812808483429007,1.6224836912811647,1.766243134533468,1.638401175760439,1.646614654494554,1.543503459903755
Ruminofilibacter xylanolyticum,2.0,,,2.0,2.0,2.0,,2.0
Saccharofermentans acetigenes,,,,,,,,
Saccharomonospora glauca,,,,,,,,
Salinibacterium sp. 5317J-19,,,,,,,,
Sanguibacter keddieii,,,,,,,,
Sanguibacter marinus,,,,,,,,
Sarcina ventriculi,,,,,,,,
Schlegelella sp. KB1a,,,,,,,,
Schwartzia sp. canine oral taxon 042,,,,,,,,
Schwartzia succinivorans,,,,,,,,
Sediminibacterium salmoneum,,,,,,,,
Sediminibacterium sp. I-32,,,,,,,,
Sediminitomix flava,,,,,,,0.0,
Selenomonas bovis,,,,,,,,
Selenomonas lacticifex,,,,,,,,
Selenomonas ruminantium,,,,,,,,
Selenomonas sp. CM52,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sesame phyllody phytoplasma,,,,,,,,
Sharpea azabuensis,,,,,,,2.0,
Slackia equolifaciens,,,2.0,,,,,
Slackia faecicanis,,,,,,,,
Slackia heliotrinireducens,,,,,,,,
Slackia piriformis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Slackia sp. NATTS,,,,,,,,
Solibacillus silvestris,2.0,,,,,,,
Solobacterium moorei,,2.0,,,,,,
Sphingobacterium composti Yoo et al. 2007,,,2.0,,2.0,2.0,2.0,
Sphingobacterium daejeonense,,,,,,,,
Sphingobacterium sp. 21,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Sphingobacterium sp. HC-6155,2.0,,2.0,2.0,,,,2.0
Sphingobacterium sp. LMG 8346,2.0,,2.0,,2.0,,,
Sphingobacterium sp. NBRC 15338,,,,,,,,
Sphingomonas aquatilis,,,,,,,,
Sphingomonas leidyi,,,,2.0,,,,
Sphingomonas sp. THG-DT81,,,,,,,,
Sporobacter termitidis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sporobacterium olearium,2.0,,2.0,,,,2.0,
Sporosarcina pasteurii,,,,,,,,
Sporosarcina sp. 106,,2.0,2.0,2.0,2.0,,2.0,2.0
Sporosarcina sp. HW10C2,2.0,2.0,2.0,2.0,,,,2.0
Staphylococcus aureus,2.0,1.8525486670733404,2.0,1.746968113285892,2.0,2.0,1.873721819286148,1.8812562709756915
Staphylococcus auricularis,,,,,,,,
Staphylococcus epidermidis,,2.0,2.0,,2.0,2.0,2.0,
Staphylococcus hominis,,,,,,,,
Staphylococcus kloosii,,2.0,,,,,,
Staphylococcus lentus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Staphylococcus nepalensis,2.0,,2.0,2.0,2.0,,2.0,2.0
Staphylococcus saprophyticus,,,,,,,,
Staphylococcus succinus,,,,,,,,
Stenotrophomonas maltophilia,,,,,,,,
Steroidobacter denitrificans,,,,,,,,
Steroidobacter sp. ZUMI 37,,,,,,,,
Streptococcus ASCB04,2.0,,,,,,,
Streptococcus AY020,2.0,1.850201287487948,2.0,1.8794434012623926,2.0,2.0,2.0,1.5346799847765678
Streptococcus agalactiae,,,,,,,,
Streptococcus alactolyticus,,2.0,2.0,,,,2.0,2.0
Streptococcus anginosus,,,,,,,,
Streptococcus australis,,2.0,,,2.0,,,
Streptococcus canis,,,,,,,,
Streptococcus criceti,,,,,,,,
Streptococcus cristatus,,,,,,,,
Streptococcus dysgalactiae,,,,,,,,
Streptococcus equi,,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Streptococcus equinus,,,,,2.0,,,
Streptococcus gallolyticus,,,,,,,,
Streptococcus genomosp. C6,,2.0,,,2.0,,,
Streptococcus genomosp. C8,,,,,,,,
Streptococcus gordonii,,,,,,,,
Streptococcus infantarius,,,,,2.0,,,
Streptococcus infantis,2.0,2.0,,,,,2.0,2.0
Streptococcus iniae,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Streptococcus intermedius,2.0,,,,,,,
Streptococcus lutetiensis,,2.0,,,,,,
Streptococcus macedonicus,,,,,,,2.0,
Streptococcus mitis,,,,,,,2.0,
Streptococcus mutans,,,2.0,,,,,
Streptococcus oral taxon B66,,,,,,,,
Streptococcus oralis,,,,,,,,
Streptococcus parasanguinis,,,,,,,,
Streptococcus parauberis,,,,,,,,
Streptococcus pasteurianus,,,,,2.0,2.0,2.0,
Streptococcus pneumoniae,,,,,,2.0,2.0,
Streptococcus pseudoporcinus,,,,,,,,
Streptococcus salivarius,2.0,2.0,,,2.0,2.0,2.0,
Streptococcus sanguinis,2.0,2.0,,,2.0,2.0,2.0,2.0
Streptococcus sp. 11aTha1,2.0,,2.0,2.0,2.0,,2.0,
Streptococcus sp. B1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Streptococcus sp. EO2001-02,,,,,,,,
Streptococcus sp. F0442,,,,,2.0,,,
Streptococcus sp. I-P16,,,,,,,,
Streptococcus sp. M09-11185,,,,,,,,
Streptococcus sp. NJ9704,,,,,,,,
Streptococcus sp. R-19306,,2.0,,,1.1518324607329842,2.0,,
Streptococcus sp. oral taxon 056,,,,,,,,
Streptococcus sp. oral taxon 058,,,,,,,,
Streptococcus suis,,,,,,,,
Streptomyces cacaoi,,,,,,,,
Streptomyces rameus,,,,,,,,
Streptomyces sp. KLBMP1284,,,,,,,,
Subdoligranulum sp. 4_3_54A2FAA,2.0,2.0,2.0,2.0,2.0,1.652858407950408,2.0,2.0
Subdoligranulum sp. DJF_VR33k2,,2.0,,,,,,
Subdoligranulum variabile,,2.0,,,2.0,,,
Sulfurivirga caldicuralii,,,,,,,,
Sutterella parvirubra,,,,,,,,
Sutterella wadsworthensis,,,,,,,,
Syntrophomonas bryantii,1.6195431235431237,2.0,1.3875487296375697,1.5300547981729269,1.5960140622311088,1.5634002361275088,2.0,1.512637815945399
Syntrophomonas cellicola,2.0,,,,,,,
Syntrophomonas curvata,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Syntrophomonas wolfei,,,,,,,,
Syntrophothermus lipocalidus,,,,,,,,
Syntrophus sp.,,,,,,,,
TM7 oral taxon 347,2.0,,,,2.0,,,
TM7 oral taxon 351,0.9653726111070038,0.6624562122792523,0.6097318768619664,0.7748284793508323,0.5396123278437668,0.5472303586853191,0.6610130485745473,0.4409691304499978
TM7 oral taxon 352,,,,,,,,
Tannerella forsythia,0.33092858036730055,0.352346207908952,0.31290499529473265,0.23342053523229897,0.3548413290788177,0.2993774330337935,0.26870259816655667,0.29254615869206957
Tannerella oral taxon 808,0.4725873908115869,0.6995898511402674,0.83472481015121,0.6485010951871917,0.508504003313559,0.4146845411150532,0.550719153685918,0.46142934151907333
Tannerella sp. 6_1_58FAA_CT1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Tepidibacter sp. B1,2.0,2.0,,2.0,2.0,,,2.0
Tepidimicrobium sp. HUT8119,,,,,,,,
Tepidimonas sp. AK30,,,,,,,,
Terracoccus sp. S23303,,,,,,2.0,,
Terrimonas sp. YJ03,,,,,,,,
Thauera sp. 27,,,,,,,,
Thermaerobacter subterraneus,,,,,,,,
Thermanaeromonas sp. IA 106,,,,,,,,
Thermincola potens,,,,,,2.0,,
Thermobacillus composti,2.0,,2.0,,,,,2.0
Thermobifida fusca,,,,,,,,
Thermodesulfobium narugense,,,,,,,,
Thioflavicoccus mobilis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Tolumonas auensis,,,,,,,,
Treponema pectinovorum,,,,,,,,
Treponema saccharophilum,,,,,,,,
Triticum aestivum,,,,,,,,
Triticum turgidum,,,,,,,,
Tropheryma whipplei,,,,,,,2.0,2.0
Turicibacter sanguinis,,2.0,,,,,2.0,2.0
Turicibacter sp. LA61,2.0,,2.0,2.0,2.0,,2.0,2.0
Turicibacter sp. LA62,1.9221220362112912,1.9041351711871948,1.7278678825434626,1.9464969733987347,1.7675228820446622,1.9051220937485636,1.7597539189106304,1.8107689285636337
UNDEFINED,,,,,,,,
Undibacterium oligocarboniphilum,,,,,,,,
Ureibacillus composti,,,,,,,,
Vagococcus lutrae,,,,,,,,
Veillonella atypica,,,,,,,,
Veillonella ratti,,,,,,2.0,,
Veillonella sp. oral taxon 780,,,,,,,,
Vibrio cholerae,2.0,1.7947942534444388,2.0,2.0,2.0,2.0,1.9868524439151234,2.0
Vibrio cyclitrophicus,,,,,,,,
Vibrio sp. Ex25,,,,,,,,
Vibrio sp. QY102,,,,,,,,
Virgibacillus sp. 12,,,,,,,,2.0
Virgibacillus sp. IDS-20,,,,,,,,
Virgibacillus sp. WS 4627,,,,,,,,
Virgibacillus sp. YIM C834,,,,,,,,
Weissella ceti,,,,,,,,
Weissella cibaria,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Weissella confusa,,,,,2.0,,,
Weissella hellenica,,,,,,,,
Weissella sp. NBRC 107217,,,,,2.0,,,
Xanthomonas oryzae,,,,,,,,
Xylanibacter oryzae,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Yaniella halotolerans,,,2.0,,,,,
[Bacteroides] cellulosolvens,2.0,,2.0,2.0,2.0,,2.0,
[Bacteroides] pectinophilus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
[Caedibacter] taeniospiralis,,,,,,,,
[Clostridium] bartlettii,2.0,2.0,2.0,,2.0,2.0,2.0,2.0
[Clostridium] bifermentans,,,,,2.0,,,
[Clostridium] cocleatum,1.6436976714063878,1.7162001631348163,2.0,1.6924331208664694,2.0,2.0,2.0,2.0
[Clostridium] difficile,,,,,,,,
[Clostridium] innocuum,2.0,2.0,,2.0,2.0,,2.0,
[Clostridium] lituseburense,,2.0,2.0,,,2.0,2.0,2.0
[Clostridium] ramosum,,,,,,,,
[Clostridium] sordellii,,,,,2.0,,,
[Clostridium] spiroforme,,,,,,,,
[Clostridium] stercorarium,2.0,,2.0,,2.0,,2.0,2.0
[Eubacterium] biforme,1.4572397731792515,1.8486183587925318,1.6863576708811698,1.521094551747329,1.5535009714761407,1.776342279749227,1.516045631972802,1.5445018172408522
[Eubacterium] cylindroides,1.4480050475938104,1.2972229009957381,1.6731016894919744,1.5282071218772437,1.6526921171014848,1.516417910447761,1.5985463108034434,1.6065646722792513
[Eubacterium] dolichum,,,,2.0,,,2.0,
[Eubacterium] infirmum,,,,,,,,
[Eubacterium] tenue,,,,,,,,
[Eubacterium] tortuosum,,,,,,,,
[Ruminococcus] gnavus,1.7032660128642745,1.6816441079311255,1.76874983985446,1.597892590074779,1.7386035075101922,1.173841472539533,1.3336015772743728,1.5867159181137154
[Ruminococcus] obeum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
[Ruminococcus] torques,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
[Streptococcus] pleomorphus,,,,,,,,
